# Disk parameters
# M_d/e10M_sun    4.9607
#    Disk M/L     1.0000
# Bulge included
# M_b/e10M_sun    1.3733
#   Bulge M/L     1.0000
# Gas included
# M_g/e10M_sun    1.6318
# Einasto halo parameters
#  M_*/e10M_sun   45.2147
#     r_s/1~kpc   19.3347
# concentration    5.2665
#   v_200/1km/s   71.2790
# M_200/e10Msun   11.4988
# alpha    2.7500
#+++++++++++++++
#   Rkpc      V_uh       V_b      V_ch     V_tot     r2rho       V_disk     V_gas   V_bulge
#
    30.250   121.766   109.336   128.239   168.522   0.630E-04    84.807    54.159    42.767
    30.500   121.616   108.834   127.712   167.795   0.513E-04    84.438    53.863    42.591
    30.750   121.455   108.338   127.192   167.078   0.416E-04    84.073    53.568    42.418
    31.000   121.283   107.847   126.680   166.369   0.336E-04    83.713    53.276    42.246
    31.250   121.100   107.362   126.175   165.670   0.270E-04    83.358    52.985    42.077
    31.500   120.906   106.882   125.676   164.979   0.217E-04    83.008    52.697    41.910
    31.750   120.703   106.407   125.181   164.295   0.173E-04    82.662    52.411    41.744
    32.000   120.490   105.939   124.690   163.617   0.138E-04    82.321    52.128    41.581
    32.250   120.269   105.475   124.205   162.947   0.109E-04    81.984    51.846    41.419
    32.500   120.039   105.017   123.725   162.285   0.866E-05    81.651    51.568    41.260
    32.750   119.801   104.564   123.252   161.631   0.682E-05    81.323    51.292    41.102
    33.000   119.556   104.117   122.784   160.985   0.535E-05    80.999    51.019    40.946
    33.250   119.303   103.674   122.321   160.346   0.418E-05    80.679    50.748    40.792
    33.500   119.044   103.237   121.864   159.715   0.326E-05    80.362    50.481    40.639
    33.750   118.779   102.806   121.414   159.092   0.253E-05    80.050    50.216    40.488
    34.000   118.508   102.379   120.968   158.476   0.196E-05    79.742    49.955    40.339
    34.250   118.231   101.957   120.526   157.866   0.151E-05    79.437    49.696    40.192
    34.500   117.949   101.541   120.088   157.263   0.116E-05    79.136    49.441    40.046
    34.750   117.663   101.130   119.655   156.667   0.884E-06    78.838    49.190    39.902
    35.000   117.372   100.723   119.225   156.076   0.673E-06    78.544    48.942    39.759
    35.250   117.077   100.322   118.801   155.493   0.511E-06    78.253    48.697    39.618
    35.500   116.779    99.926   118.381   154.917   0.386E-06    77.966    48.456    39.478
    35.750   116.477    99.534   117.966   154.347   0.291E-06    77.681    48.219    39.340
    36.000   116.173    99.148   117.556   153.785   0.218E-06    77.400    47.985    39.203
    36.250   115.865    98.766   117.151   153.228   0.163E-06    77.122    47.755    39.068
    36.500   115.556    98.388   116.749   152.678   0.121E-06    76.847    47.529    38.934
    36.750   115.244    98.016   116.352   152.135   0.898E-07    76.575    47.305    38.801
    37.000   114.930    97.647   115.959   151.597   0.663E-07    76.306    47.085    38.670
    37.250   114.615    97.283   115.570   151.064   0.487E-07    76.040    46.869    38.540
    37.500   114.298    96.924   115.184   150.537   0.357E-07    75.776    46.655    38.411
    37.750   113.981    96.568   114.802   150.016   0.260E-07    75.516    46.445    38.284
    38.000   113.662    96.217   114.423   149.500   0.189E-07    75.258    46.237    38.158
    38.250   113.343    95.869   114.048   148.989   0.137E-07    75.003    46.032    38.033
    38.500   113.024    95.526   113.676   148.484   0.984E-08    74.751    45.830    37.909
    38.750   112.704    95.186   113.308   147.983   0.706E-08    74.501    45.630    37.787
    39.000   112.384    94.850   112.945   147.489   0.504E-08    74.254    45.433    37.665
    39.250   112.065    94.517   112.585   147.000   0.359E-08    74.009    45.239    37.545
    39.500   111.746    94.188   112.229   146.516   0.254E-08    73.767    45.046    37.426
    39.750   111.427    93.863   111.877   146.036   0.179E-08    73.527    44.856    37.308
    40.000   111.108    93.540   111.527   145.561   0.126E-08    73.289    44.669    37.192
    40.250   110.791    93.221   111.180   145.090   0.882E-09    73.054    44.483    37.076
    40.500   110.474    92.905   110.836   144.624   0.614E-09    72.821    44.299    36.961
    40.750   110.159    92.593   110.495   144.162   0.426E-09    72.590    44.117    36.847
    41.000   109.844    92.283   110.157   143.703   0.294E-09    72.361    43.937    36.735
    41.250   109.530    91.976   109.822   143.250   0.202E-09    72.135    43.759    36.623
    41.500   109.218    91.672   109.491   142.800   0.139E-09    71.910    43.582    36.513
    41.750   108.907    91.371   109.162   142.355   0.945E-10    71.688    43.408    36.403
    42.000   108.598    91.072   108.836   141.913   0.642E-10    71.468    43.235    36.294
    42.250   108.290    90.777   108.513   141.476   0.433E-10    71.250    43.064    36.187
    42.500   107.984    90.484   108.194   141.043   0.291E-10    71.033    42.894    36.080
    42.750   107.679    90.194   107.877   140.615   0.195E-10    70.819    42.727    35.974
    43.000   107.376    89.907   107.564   140.190   0.130E-10    70.607    42.561    35.869
    43.250   107.075    89.623   107.253   139.770   0.864E-11    70.397    42.397    35.765
    43.500   106.775    89.341   106.945   139.353   0.571E-11    70.188    42.234    35.662
